business_id,business_address,business_city,business_latitude,business_longitude,inspection_score
438,729 Vallejo St,San Francisco,37.798494,-122.40933700000001,79.91666666666667
442,626 Broadway St,San Francisco,37.797828,-122.407474,83.88888888888889
443,325 Columbus Ave,San Francisco,37.798306,-122.407327,
448,1300 Stockton St,San Francisco,37.797816999999995,-122.408597,88.0
462,529 Broadway St,San Francisco,37.797933,-122.40601799999999,99.0
463,618 Broadway St,San Francisco,37.797828,-122.407444,88.0
470,347 Columbus Ave,San Francisco,37.798427000000004,-122.40750700000001,92.0
473,423 Columbus Ave,San Francisco,37.79886,-122.408204,90.0
475,503 Columbus Ave,San Francisco,37.799501,-122.40908400000001,90.0
477,555 Columbus Ave,San Francisco,37.800036,-122.40981699999999,93.6
479,1309 Grant Ave,San Francisco,37.799003000000006,-122.407274,85.75
480,1322 Grant Ave,San Francisco,37.799058,-122.40721699999999,80.85714285714286
483,470 Green St,San Francisco,37.799758000000004,-122.407113,93.5
484,562 Green St,San Francisco,37.799597999999996,-122.408394,98.0
485,678 Green St,San Francisco,37.799388,-122.410223,96.0
486,1042 Kearny St,San Francisco,37.797398,-122.405322,89.6
488,1230 Grant Ave,San Francisco,37.798519,-122.407071,90.5
489,808 Pacific Ave,San Francisco,37.796718,-122.40871399999999,78.79166666666667
494,1630 Stockton St,San Francisco,37.800897,-122.40918899999998,94.0
496,601 Vallejo St,San Francisco,37.798744,-122.407408,93.2
500,570 Powell St,San Francisco,37.790003000000006,-122.40868799999998,88.2
502,299 02nd St,San Francisco,37.785614,-122.396693,95.33333333333333
507,2906 Diamond St,San Francisco,37.733449,-122.43424099999999,89.33333333333333
509,1365 Noriega St,San Francisco,37.754090000000005,-122.478248,87.55555555555556
510,2401 Noriega St,San Francisco,37.753633,-122.48953999999999,86.93333333333334
519,2 NEW MONTGOMERY St,San Francisco,37.788286,-122.40154299999999,92.5
522,3251 20th Ave,San Francisco,37.728497,-122.47563899999999,89.71428571428571
529,3840 Geary Blvd,San Francisco,37.781278,-122.46066100000002,88.28571428571429
538,2225 Irving St,San Francisco,37.763343,-122.48180900000001,89.2
539,2278 MISSION St,San Francisco,37.760579,-122.41932,90.0
542,800 Clement St,San Francisco,37.782799,-122.46785200000001,84.5
544,315 08th Ave,San Francisco,37.782534000000005,-122.46661499999999,75.05882352941177
547,3600 BALBOA St,San Francisco,37.775728,-122.497522,88.36363636363636
551,2252 Clement St,San Francisco,37.782107,-122.483631,83.8
552,2228 Irving St,San Francisco,37.763428000000005,-122.48173600000001,83.84210526315789
557,600 05th Ave,San Francisco,37.77721,-122.462874,82.18181818181819
562,1815 MARKET St,San Francisco,37.771437,-122.423892,89.0
580,737 CORTLAND Ave,San Francisco,37.738979,-122.414971,90.11111111111111
587,811 ULLOA St,San Francisco,37.740654,-122.46538899999999,75.4
588,1601 TARAVAL St,San Francisco,37.742672999999996,-122.48333999999998,86.5
589,1325 NORIEGA St,San Francisco,37.754106,-122.477841,82.53846153846153
591,94 JUDAH St,San Francisco,37.762378000000005,-122.46269199999999,89.57142857142857
606,3107 CLEMENT St,San Francisco,37.781624,-122.492609,78.21739130434783
615,5712 MISSION St,San Francisco,37.709857,-122.44970900000001,88.77777777777777
619,1727 OCEAN Ave,San Francisco,37.724824,-122.460726,84.4
625,1770 Scott St,San Francisco,37.786463,-122.437657,86.85714285714286
628,1812 DIVISADERO St,San Francisco,37.786407000000004,-122.44005700000001,78.37037037037037
631,1500 FILLMORE St,San Francisco,37.78332,-122.432647,84.81818181818181
639,1517 Polk St,San Francisco,37.790734,-122.42078300000001,93.33333333333333
642,1737 Post St 304,San Francisco,37.785457,-122.43031699999999,92.4
645,1825 POST St #223,San Francisco,37.785274,-122.431918,93.66666666666667
665,3166 Buchanan St,San Francisco,37.799217999999996,-122.43251699999999,83.9375
670,1418 LOMBARD St,San Francisco,37.801334000000004,-122.42490500000001,82.14285714285714
691,2299 UNION St,San Francisco,37.796893,-122.436847,85.14285714285714
703,717 ELLIS St,San Francisco,37.784193,-122.41796699999999,73.0
709,248 HYDE St,San Francisco,37.783041,-122.415719,87.0
726,2786 CALIFORNIA St,San Francisco,37.788138000000004,-122.440174,76.9
741,069 WEST PORTAL Ave,San Francisco,37.740052,-122.466544,89.8
744,865 MARKET St C45,San Francisco,37.784317,-122.40756299999998,95.33333333333333
754,88 4th St.,San Francisco,37.784323,-122.404549,94.0
758,2 New Montgomery St,San Francisco,37.788286,-122.40154299999999,91.6
768,2092 03rd St,San Francisco,37.763187,-122.38889499999999,92.0
773,405 TERRY FRANCOIS Blvd,San Francisco,37.77325,-122.387222,96.66666666666667
774,429 Terry Francois St,San Francisco,37.772667,-122.387032,91.71428571428571
782,136 MISSOURI St,San Francisco,37.764627000000004,-122.39676399999999,93.33333333333333
786,1015 Battery St,San Francisco,37.800674,-122.40148400000001,90.57142857142857
792,Pier 39  Front,San Francisco,37.791924,-122.39858799999999,91.61538461538461
795,Pier 41,San Francisco,37.808494,-122.412,96.4
798,1400 Leavenworth St,San Francisco,37.793997,-122.41626699999999,90.08333333333333
799,580 Beach St,San Francisco,37.806964,-122.41861999999999,99.0
811,600 HARRISON St,San Francisco,37.783954,-122.395699,64.54545454545455
816,6202 03rd St,San Francisco,37.722374,-122.39584099999999,87.1
824,4609 MISSION St,San Francisco,37.724579,-122.43487900000001,75.8
826,6000 CALIFORNIA St,San Francisco,37.784038,-122.481982,91.53846153846153
827,4817 MISSION St,San Francisco,37.721251,-122.437385,84.0
